Fecha: 12/01/2008 18:34:16, Autorización: Retirar efectivo (Ventas), Detalle: (Caja 1), Usuario: FABIAN TREJO BUENROSTRO, Comentario: PAGO COMIDA
Fecha: 09/01/2011 22:10:41, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 31/01/2011 03:41:49, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 31/01/2011 03:42:14, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 01/09/2011 11:15:17, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 01/09/2011 11:34:51, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 01/09/2011 11:41:04, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 01/09/2011 11:45:21, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 01/09/2011 11:47:11, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 10:04:43, Autorización: Reimpresión de cortes (Corte), Detalle: , Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 10:19:53, Autorización: Reimpresión de cortes (Corte), Detalle: , Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 10:54:00, Autorización: Reimpresión de cortes (Corte), Detalle: , Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 11:38:49, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 11:43:58, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 06/09/2011 11:53:03, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:07:44, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:08:32, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:08:55, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 1), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:11:58, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:13:05, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 19:15:30, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 23:49:24, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 08/09/2011 23:51:42, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 30/09/2011 16:17:34, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 30/09/2011 16:20:27, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 30/09/2011 16:25:43, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 03/10/2011 08:39:27, Autorización: Modificar Existencia, Detalle: , Usuario: ERIC, Comentario: 
Fecha: 03/10/2011 08:39:50, Autorización: Modificar Existencia, Detalle: , Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 06:24:02, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 06:25:57, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:40:10, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:46:21, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:48:15, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:49:31, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:51:18, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
Fecha: 13/10/2011 19:54:31, Autorización: Reimpresión de cortes (Corte), Detalle: (Caja 2), Usuario: ERIC, Comentario: 
